fname,colid,fs,alpha,k
1964%E2%80%9365_Football_League_Cup#0.csv,0,1,0.001,2
1964%E2%80%9365_Football_League_Cup#0.csv,0,2,0.001,1
1964%E2%80%9365_Football_League_Cup#0.csv,0,3,0.006,1
1964%E2%80%9365_Football_League_Cup#0.csv,0,4,0.08000000000000006,1
1964%E2%80%9365_Football_League_Cup#0.csv,0,5,0.1430000000000001,1
1951_Copa_del_General%C3%ADsimo_Juvenil#0.csv,0,1,0.001,2
1951_Copa_del_General%C3%ADsimo_Juvenil#0.csv,0,2,0.001,2
1951_Copa_del_General%C3%ADsimo_Juvenil#0.csv,0,3,0.010000000000000002,1
1951_Copa_del_General%C3%ADsimo_Juvenil#0.csv,0,4,0.12600000000000008,1
1951_Copa_del_General%C3%ADsimo_Juvenil#0.csv,0,5,0.21700000000000016,1
